Longitude,Latitude
77.16379661904762,28.491099904761906
77.236582872246,28.507996426477735
77.23341438526784,28.514362855282737
77.23496587797621,28.519066043452376
77.20851785714285,28.523168190476195
77.29637761904762,28.549424857142853
77.26279609523807,28.54983223809524
77.20292862158355,28.558430305015506
77.25393311111111,28.568342388888887
77.20058148863636,28.56955660227273
77.19755601886794,28.570999981132076
77.27323266666666,28.571500904761905
77.2574539047619,28.574316571428568
77.262443,28.576692999999995
77.17858242857143,28.579911476190475
77.24635399999998,28.589143
77.30814299999999,28.589291999999997
77.2577143181818,28.589635375
77.229759,28.611032
77.29411605263158,28.621856105263163
77.063564,28.62418
77.22142847619048,28.626366857142862
77.20670099999998,28.627767
77.03662299999996,28.630103000000002
77.29968132954544,28.63052065909091
77.18031868235295,28.631736141176468
77.3100879565826,28.63359546918767
77.27016200000001,28.634149
77.27124448484847,28.64412085227273
77.27174772229355,28.644156526229335
77.24036047456711,28.644885976731604
77.31699882142857,28.64545470238095
77.27241020588235,28.64545711764706
77.28317635344982,28.646431755838826
77.23983452631579,28.648650578947375
77.10725786301369,28.64884139726027
77.28065921428572,28.649504166666674
77.19109614285712,28.65359723809524
77.11363075000001,28.654842749999997
77.18363918181821,28.657618556818186
77.22965804317714,28.66024522384817
77.22627890391155,28.66049775510205
77.21142253192569,28.66271931993243
77.31052711564628,28.666258102040818
77.224643,28.666929999999997
77.20006164772727,28.667825397727274
77.27925400000002,28.670715
77.280516,28.671482
77.1694300952381,28.673275714285715
77.32265,28.676027
77.1280045,28.68166307142857
77.13589804585537,28.683628804232804
77.14509764536342,28.68454712343359
77.14496333333334,28.685722285714284
77.13545819999999,28.6871928
77.29146879518072,28.68931969879518
77.22528799999999,28.696761
77.26642199999998,28.699697999999998
77.07724499999998,28.700549
77.076109,28.702219
77.29155435000001,28.702664325
77.07516140598806,28.70318036310605
77.15715495238095,28.703197904761904
77.07560077906977,28.703293255813954
77.07606399999999,28.703353999999997
77.13118299999998,28.703657
77.07812022674419,28.70415745639535
77.25644600000001,28.705876999999997
77.28338593846154,28.717835307692308
77.28334924246248,28.718336297382194
77.268187,28.718550999999998
77.1682940952381,28.73057809523809
77.16812799999998,28.731063
77.17023499999998,28.731775
77.15583536363638,28.734627806818185
77.257607,28.735925
77.15958244542497,28.736925732679268
77.16711100047381,28.737070562097895
77.19899452497846,28.75270289319552
77.17232119954691,28.76967053429125
77.17165370980392,28.769799803921572
