Longitude,Latitude,Vehicle_No,Time
77.2349658779762,28.51906604345238,DL1RP3491,"[770.5, 755.5, 740.0, 724.5]"
77.20851785714285,28.52316819047619,DL1RP3491,"[678.5, 663.5]"
77.11363075,28.65484275,DL1RP3580,[1127.0]
77.18363918181818,28.657618556818182,DL1RP3580,[951.0]
77.20006164772727,28.667825397727274,DL1RP3580,"[876.0, 861.0]"
77.15583536363637,28.73462780681818,DL1RP3580,[770.5]
77.20292862158355,28.5584303050155,DL1RP3590,"[1221.5, 1206.5, 1191.0, 1175.5, 1160.5, 1114.5, 979.0, 963.5, 948.5, 933.0, 856.5, 842.0, 822.5]"
77.2574539047619,28.57431657142857,DL1RP3854,[1214.5]
77.2627960952381,28.549832238095238,DL1RP3854,[1107.5]
77.16379661904762,28.491099904761906,DL1RP3854,[948.5]
77.29637761904762,28.549424857142856,DL1RP3854,[827.5]
77.18031868235295,28.63173614117647,DL1RP3854,[657.0]
77.27323266666667,28.571500904761905,DL1RP3854,[580.5]
77.28065921428572,28.649504166666667,DL1RP3960,"[1335.0, 1319.0, 1303.0, 1287.0, 1271.0, 1255.0, 1239.0]"
77.22142847619048,28.62636685714286,DL1RP3960,"[1102.5, 1056.0, 1040.5, 1010.0, 948.5]"
77.15958244542497,28.736925732679264,DL1RP4331,"[1122.5, 1107.5, 1092.5, 1077.5, 1062.5, 1047.5, 1032.5, 1017.5, 1002.5, 987.5, 972.5, 957.5, 942.5, 897.5, 882.5, 867.5]"
77.16711100047381,28.737070562097898,DL1RP4331,"[822.0, 807.0, 792.0, 777.0, 762.0, 746.5, 731.5, 716.5, 701.5, 686.5, 671.5, 656.5, 641.5, 627.0, 611.5]"
77.1723211995469,28.769670534291258,DL1RP4331,"[476.5, 461.5, 446.5, 431.5, 416.5, 401.5, 341.5, 326.5, 311.5, 296.5, 281.5, 266.5, 251.5, 236.5, 221.5, 206.5, 191.5, 176.5, 161.5, 146.5, 131.5, 116.5, 101.5, 86.5, 71.5, 56.5, 41.5, 26.5, 11.5]"
77.17165370980392,28.76979980392157,DL1RP4331,"[386.5, 371.5, 356.5]"
77.19899452497846,28.75270289319552,DL1RP4749,"[1101.5, 1086.0, 1070.5, 1055.5, 1040.0, 1024.5, 1009.5, 993.5, 957.5, 942.5, 927.5, 911.5, 896.5, 881.5, 866.5, 851.5, 836.5, 821.5, 806.5, 791.0, 776.0, 761.0, 746.0, 730.5, 715.5, 700.5, 685.5]"
77.168128,28.731063,DL1RP4749,"[655.5, 640.5, 625.5]"
77.16829409523811,28.730578095238094,DL1RP4749,[579.5]
77.229759,28.611032,DL1RP4985,"[1078.0, 1061.5]"
77.268187,28.718551,DL1RP4985,[964.5]
77.206701,28.627767,DL1RP5028,[1039.0]
77.131183,28.703657,DL1RP5108,[1062.0]
77.17023499999998,28.731775,DL1RP5108,[987.0]
77.063564,28.62418,DL1RP5108,[815.5]
77.270162,28.634149,DL1RP5218,[1092.0]
77.31008795658263,28.633595469187675,DL1RP5218,"[1032.0, 1016.5]"
77.29411605263158,28.62185610526316,DL1RP5218,[925.5]
77.2403558809524,28.644931976190477,DL1RP5218,"[855.5, 840.5]"
77.246354,28.589143,DL1RP5218,[686.5]
